Athlete,Date,Time,Location,Distance,Nationality
Ted Meredith,1912-07-08,111.9,"Stockholm, Sweden",800 Meters,United States
Otto Peltzer,1926-07-03,111.6,"London, United Kingdom",800 Meters,Germany
Sera Martin,1928-07-14,110.6,"Paris, France",800 Meters,France
Tommy Hampson,1932-08-02,109.8,"Los Angeles, United States",800 Meters,United Kingdom
Ben Eastman,1934-06-16,109.8,"Princeton, United States",800 Meters,United States
Glenn Cunningham,1936-08-20,109.7,"Stockholm, Sweden",800 Meters,United States
Elroy Robinson,1937-07-11,109.6,"New York, United States",800 Meters,United States
Sydney Wooderson,1938-08-20,108.4,"London, United Kingdom",800 Meters,United Kingdom
Rudolf Harbig,1939-07-15,106.6,"Milan, Italy",800 Meters,Germany
Roger Moens,1955-08-03,105.7,"Oslo, Norway",800 Meters,Belgium
Peter Snell,1962-02-02,104.3,"Christchurch, New Zealand",800 Meters,New Zealand
Ralph Doubell,1968-10-15,104.3,"Mexico City, Mexico",800 Meters,Australia
Dave Wottle,1972-07-01,104.3,"Eugene, United States",800 Meters,United States
Marcello Fiasconaro,1973-06-27,103.7,"Milan, Italy",800 Meters,Italy
Alberto Juantorena,1976-07-25,103.5,"Montreal, Canada",800 Meters,Cuba
Alberto Juantorena,1977-08-21,103.4,"Sofia, Bulgaria",800 Meters,Cuba
Sebastian Coe,1979-07-05,102.4,"Oslo, Norway",800 Meters,United Kingdom
Sebastian Coe,1981-06-10,101.72999999999999,"Florence, Italy",800 Meters,United Kingdom
Wilson Kipketer,1997-07-07,101.72999999999999,"Stockholm, Sweden",800 Meters,Denmark
Wilson Kipketer,1997-08-13,101.24000000000001,"Zürich, Switzerland",800 Meters,Denmark
Wilson Kipketer,1997-08-24,101.11,"Cologne, Germany",800 Meters,Denmark
David Rudisha,2010-08-22,101.09,"Berlin, Germany",800 Meters,Kenya
David Rudisha,2010-08-29,101.00999999999999,"Rieti, Italy",800 Meters,Kenya
David Rudisha,2012-08-09,100.91,"London, United Kingdom",800 Meters,Kenya
Lee Evans,1968-10-18,43.86,"Mexico City, Mexico",400 Meters,United States
Butch Reynolds,1988-08-17,43.29,"Zürich, Switzerland",400 Meters,United States
Michael Johnson,1999-08-26,43.18,"Seville, Spain",400 Meters,United States
Wayde van Niekerk,2016-08-14,43.03,"Rio de Janeiro, Brazil",400 Meters,South Africa
Maxie Long,1900-09-29,47.8,"New York, USA",400 Meters,United States
Charles Reidpath,1912-07-13,48.2,"Stockholm, Sweden",400 Meters,United States
Ted Meredith,1916-05-27,47.4,"Cambridge, USA",400 Meters,United States
Eric Liddell,1924-07-11,47.6,"Paris, France",400 Meters,United Kingdom
Emerson Spencer,1928-05-12,47,"Palo Alto, USA",400 Meters,United States
Ben Eastman,1932-03-26,46.4,"Palo Alto, California, USA",400 Meters,United States
Bill Carr,1932-08-05,46.2,"Los Angeles, USA",400 Meters,United States
Archie Williams,1936-06-19,46.1,"Chicago, USA",400 Meters,United States
Rudolf Harbig,1939-08-12,46,"Frankfurt am Main, Germany",400 Meters,Germany
Grover Klemmer,1941-06-06,46,"Philadelphia, USA",400 Meters,United States
Herb McKenley,1948-06-05,46,"Berkeley, USA",400 Meters,Jamaica
Herb McKenley,1948-07-02,45.9,"Milwaukee, USA",400 Meters,Jamaica
George Rhoden,1950-08-22,45.8,"Eskilstuna, Sweden",400 Meters,Jamaica
Lou Jones,1955-03-18,45.4,"Mexico City, Mexico",400 Meters,United States
Lou Jones,1956-06-30,45.2,"Los Angeles, USA",400 Meters,United States
Otis Davis,1960-09-06,44.9,"Rome, Italy",400 Meters,United States
Carl Kaufmann,1960-09-06,44.9,"Rome, Italy",400 Meters,Germany
Adolph Plummer,1963-05-25,44.9,"Tempe, USA",400 Meters,United States
Mike Larrabee,1964-09-12,44.9,"Los Angeles, USA",400 Meters,United States
Tommie Smith,1967-05-20,44.5,"San Jose, USA",400 Meters,United States
Larry James,1968-09-14,44.1,"Echo Summit, USA",400 Meters,United States
Lee Evans,1968-10-18,43.8,"Mexico City, Mexico",400 Meters,United States
Willie Williams,1956-08-03,10.1,"Berlin, Germany",100 Meters,United States
Usain Bolt,2008-05-31,9.72,"New York, USA",100 Meters,Jamaica
Usain Bolt,2008-08-16,9.69,"Beijing, China",100 Meters,Jamaica
Usain Bolt,2009-08-16,9.58,"Berlin, Germany",100 Meters,Jamaica
Tim Montgomery,2002-09-14,9.78,"Paris, France",100 Meters,United States
Takayoshi Yoshioka,1935-06-15,10.3,"Tokyo, Japan",100 Meters,Japan
Steve Williams,1975-07-16,9.9,"Siena, Italy",100 Meters,United States
Steve Williams,1974-06-21,9.9,"Los Angeles, USA",100 Meters,United States
Steve Williams,1976-03-27,9.9,"Gainesville, USA",100 Meters,United States
Steve Williams,1975-08-22,9.9,"Berlin, Germany",100 Meters,United States
Silvio Leonard,1975-06-05,9.9,"Ostrava, Czechoslovakia",100 Meters,Cuba
Ronnie Ray Smith,1968-06-20,9.9,"Sacramento, USA",100 Meters,United States
Roger Bambuck,1968-06-20,10,"Sacramento, USA",100 Meters,France
Rey Robinson,1972-07-01,9.9,"Eugene, USA",100 Meters,United States
Ray Norton,1959-04-18,10.1,"San Jose, USA",100 Meters,United States
Ralph Metcalfe,1934-09-15,10.3,"Osaka, Japan",100 Meters,United States
Ralph Metcalfe,1934-09-23,10.3,"Dairen, China",100 Meters,United States
Ralph Metcalfe,1933-08-12,10.3,"Budapest, Hungary",100 Meters,United States
Ralph Metcalfe,1932-08-01,10.3,"Los Angeles, USA",100 Meters,United States
Percy Williams,1930-08-09,10.3,"Toronto, Canada",100 Meters,Canada
Paul Nash,1968-04-02,10,"Krugersdorp, South Africa",100 Meters,South Africa
Oliver Ford,1968-05-31,10,"Albuquerque, USA",100 Meters,United States
McDonald Bailey,1951-08-25,10.2,"Belgrade, Yugoslavia",100 Meters,Great Britain
Maurice Greene,1999-06-16,9.79,"Athens, Greece",100 Meters,United States
Lloyd LaBeach,1948-05-15,10.2,"Fresno, USA",100 Meters,Panama
Leroy Burrell,1991-06-14,9.9,"New York, USA",100 Meters,United States
Leroy Burrell,1994-07-06,9.85,"Lausanne, Switzerland",100 Meters,United States
Leamon King,1956-10-27,10.1,"Santa Ana, USA",100 Meters,United States
Leamon King,1956-10-20,10.1,"Ontario, USA",100 Meters,United States
Justin Gatlin,2006-05-12,9.77,"Doha, Qatar",100 Meters,United States
Jim Hines,1968-05-20,10.03,"Sacramento, USA",100 Meters,United States
Jim Hines,1968-10-14,9.95,"Mexico City, Mexico",100 Meters,United States
Jim Hines,1967-05-27,10,"Modesto, USA",100 Meters,United States
Jim Hines,1968-06-20,9.9,"Sacramento, USA",100 Meters,United States
Jim Hines,1968-10-14,9.9,"Mexico City, Mexico",100 Meters,United States
Jesse Owens,1936-06-20,10.2,"Chicago, USA",100 Meters,United States
Jackson Scholz,1920-09-16,10.6,"Stockholm, Sweden",100 Meters,United States
Ira Murchison,1956-06-29,10.2,"Los Angeles, USA",100 Meters,United States
Ira Murchison,1956-06-01,10.2,"Compton, USA",100 Meters,United States
Ira Murchison,1956-08-04,10.1,"Berlin, Germany",100 Meters,United States
Horacio Esteves,1964-08-15,10,"Caracas, Venezuela",100 Meters,Venezuela
Heinz Fütterer,1954-10-31,10.2,"Yokohama, Japan",100 Meters,West Germany
Harvey Glance,1976-04-03,9.9,"Columbia, USA",100 Meters,United States
Harvey Glance,1976-05-01,9.9,"Baton Rouge, USA",100 Meters,United States
Harry Jerome,1960-07-15,10,"Saskatoon, Canada",100 Meters,Canada
Harold Davis,1941-06-06,10.2,"Compton, USA",100 Meters,United States
Eulace Peacock,1934-08-06,10.3,"Oslo, Norway",100 Meters,United States
Enrique Figuerola,1967-06-17,10,"Budapest, Hungary",100 Meters,Cuba
Eddie Tolan,1929-08-08,10.4,"Stockholm, Sweden",100 Meters,United States
Eddie Tolan,1929-08-25,10.4,"Copenhagen, Denmark",100 Meters,United States
Eddie Tolan,1932-08-01,10.3,"Los Angeles, USA",100 Meters,United States
Eddie Hart,1972-07-01,9.9,"Eugene, USA",100 Meters,United States
Donovan Bailey,1996-07-27,9.84,"Atlanta, USA",100 Meters,Canada
Donald Lippincott,1912-07-06,10.6,"Stockholm, Sweden",100 Meters,United States
Don Quarrie,1976-05-22,9.9,"Modesto, USA",100 Meters,Jamaica
Chris Berger,1934-08-26,10.3,"Amsterdam, Netherlands",100 Meters,Netherlands
Charlie Paddock,1921-04-23,10.4,"Redlands, USA",100 Meters,United States
Charles Greene,1968-10-13,10.02,"Mexico City, Mexico",100 Meters,United States
Charles Greene,1968-06-20,10,"Sacramento, USA",100 Meters,United States
Charles Greene,1968-06-20,9.9,"Sacramento, USA",100 Meters,United States
Carl Lewis,1988-08-17,9.93,"Zürich, Switzerland",100 Meters,United States
Carl Lewis,1991-08-25,9.86,"Tokyo, Japan",100 Meters,United States
Carl Lewis,1988-09-24,9.92,"Seoul, South Korea",100 Meters,United States
Carl Lewis,1987-08-30,9.93,"Rome, Italy",100 Meters,United States
Calvin Smith,1983-07-03,9.93,"Colorado Springs, USA",100 Meters,United States
Bobby Morrow,1956-06-29,10.2,"Los Angeles, USA",100 Meters,United States
Bobby Morrow,1956-05-19,10.2,"Houston, USA",100 Meters,United States
Bobby Morrow,1956-06-22,10.2,"Bakersfield, USA",100 Meters,United States
Bob Hayes,1964-10-15,10.06,"Tokyo, Japan",100 Meters,United States
Bob Hayes,1964-10-15,10,"Tokyo, Japan",100 Meters,United States
Ben Johnson,1987-08-30,9.83,"Rome, Italy",100 Meters,Canada
Barney Ewell,1948-07-09,10.2,"Evanston, United States",100 Meters,United States
Asafa Powell,2007-09-09,9.74,"Rieti, Italy",100 Meters,Jamaica
Asafa Powell,2005-06-14,9.77,"Athens, Greece",100 Meters,Jamaica
Asafa Powell,2006-06-11,9.77,"Gateshead, England",100 Meters,Jamaica
Asafa Powell,2006-08-18,9.77,"Zürich, Switzerland",100 Meters,Jamaica
Arthur Jonath,1932-07-05,10.3,"Bochum, Germany",100 Meters,Germany
Armin Hary,1960-06-21,10,"Zürich, Switzerland",100 Meters,West Germany
Andy Stanfield,1951-05-26,20.6,"Philadelphia, United States",200 Meters,United States
Andy Stanfield,1952-06-28,20.6,"Los Angeles, United States",200 Meters,United States
Thane Baker,1956-06-23,20.6,"Bakersfield, United States",200 Meters,United States
Bobby Morrow,1956-11-27,20.6,"Melbourne, Australia",200 Meters,United States
Manfred Germar,1958-10-01,20.6,"Wuppertal, Germany",200 Meters,West Germany
Ray Norton,1960-03-19,20.6,"Berkeley, United States",200 Meters,United States
Ray Norton,1960-04-30,20.6,"Philadelphia, United States",200 Meters,United States
Peter Radford,1960-05-28,20.5,"Wolverhampton, United Kingdom",200 Meters,United Kingdom
Stone Johnson,1960-07-02,20.5,"Stanford, United States",200 Meters,United States
Ray Norton,1960-07-02,20.5,"Stanford, United States",200 Meters,United States
Livio Berruti,1960-09-03,20.5,"Rome, Italy",200 Meters,Italy
Livio Berruti,1960-09-03,20.5,"Rome, Italy",200 Meters,Italy
Paul Drayton,1962-06-23,20.5,"Walnut, United States",200 Meters,United States
Henry Carr,1963-03-23,20.3,"Tempe, United States",200 Meters,United States
Henry Carr,1964-04-04,20.2,"Tempe, United States",200 Meters,United States
Tommie Smith,1966-06-11,20,"Sacramento, United States",200 Meters,United States
Tommie Smith,1968-10-16,19.8,"Mexico City, Mexico",200 Meters,United States
Don Quarrie,1971-08-03,19.8,"Cali, Colombia",200 Meters,Jamaica
Don Quarrie,1975-06-07,19.8,"Eugene, United States",200 Meters,Jamaica
Tommie Smith,1968-10-16,19.83,"Mexico City, Mexico",200 Meters,United States
Pietro Mennea,1979-09-12,19.72,"Mexico City, Mexico",200 Meters,Italy
Michael Johnson,1996-06-23,19.66,"Atlanta, United States",200 Meters,United States
Michael Johnson,1996-08-01,19.32,"Atlanta, United States",200 Meters,United States
Usain Bolt,2008-08-20,19.3,"Beijing, China",200 Meters,Jamaica
Usain Bolt,2009-08-20,19.19,"Berlin, Germany",200 Meters,Jamaica
Georg Mickler,1913-06-22,152.3,Hanover,1000 Meters,Germany
Anatole Bolin,1918-09-22,149.1,Stockholm,1000 Meters,Sweden
Sven Lundgren,1922-09-27,148.6,Stockholm,1000 Meters,Sweden
Séra Martin,1926-09-30,146.8,Colombes,1000 Meters,France
Otto Peltzer,1927-09-18,145.8,Colombes,1000 Meters,Germany
Jules Ladoumègue,1930-10-19,143.6,Paris,1000 Meters,France
Rudolf Harbig,1941-05-24,141.5,Dresden,1000 Meters,Germany
Rune Gustafsson,1946-09-04,141.4,Borås,1000 Meters,Sweden
Marcel Hansenne,1948-08-27,141.4,Gothenburg,1000 Meters,France
Olle Åberg,1952-08-10,141.3,Copenhagen,1000 Meters,Sweden
Stanislav Jungwirth,1952-10-27,141.2,Stará Boleslav,1000 Meters,Czechoslovakia
Mal Whitfield,1953-08-16,140.8,Eskilstuna,1000 Meters,United States
Audun Boysen,1953-09-17,140.4,Oslo,1000 Meters,Norway
Audun Boysen,1954-08-18,139.5,Gävle,1000 Meters,Norway
Audun Boysen,1955-08-30,139,Gothenburg,1000 Meters,Norway
István Rózsavölgyi,1955-09-21,139,Tata,1000 Meters,Hungary
Dan Waern,1958-09-19,138.1,Turku,1000 Meters,Sweden
Dan Waern,1959-08-21,137.8,Karlstad,1000 Meters,Sweden
Siegfried Valentin,1960-07-19,136.7,Potsdam,1000 Meters,East Germany
Peter Snell,1964-11-12,136.6,Auckland,1000 Meters,New Zealand
Jürgen May,1965-07-20,136.2,Erfurt,1000 Meters,East Germany
Franz-Josef Kemper,1966-09-21,136.2,Hanover,1000 Meters,West Germany
Danie Malan,1973-06-24,136,Munich,1000 Meters,South Africa
Rick Wohlhuter,1974-07-30,133.9,Oslo,1000 Meters,United States
Sebastian Coe,1980-07-01,133.4,Oslo,1000 Meters,Great Britain
Sebastian Coe,1981-07-11,132.18,Oslo,1000 Meters,Great Britain
Noah Ngeny,1999-09-05,131.96,Rieti,1000 Meters,Kenya
Abel Kiviat,1912-06-08,235.8,"Cambridge, Massachusetts, United States",1500 Meters,United States
John Zander,1917-08-05,234.7,"Stockholm, Sweden",1500 Meters,Sweden
Paavo Nurmi,1924-06-19,232.6,"Helsinki, Finland",1500 Meters,Finland
Otto Peltzer,1926-09-11,231,"Berlin, Germany",1500 Meters,Germany
Jules Ladoumegue,1930-10-05,229.2,"Paris, France",1500 Meters,France
Luigi Beccali,1933-09-09,229.2,"Turin, Italy",1500 Meters,Italy
Luigi Beccali,1933-09-17,229,"Milan, Italy",1500 Meters,Italy
Bill Bonthron,1934-06-30,228.8,"Milwaukee, United States",1500 Meters,United States
Jack Lovelock,1936-08-06,227.8,"Berlin, Germany",1500 Meters,New Zealand
Gunder Hägg,1941-08-10,227.6,"Stockholm, Sweden",1500 Meters,Sweden
Gunder Hägg,1942-07-17,225.8,"Stockholm, Sweden",1500 Meters,Sweden
Arne Andersson,1943-08-17,225,"Gothenburg, Sweden",1500 Meters,Sweden
Gunder Hägg,1944-07-07,223,"Gothenburg, Sweden",1500 Meters,Sweden
Lennart Strand,1947-07-15,223,"Malmö, Sweden",1500 Meters,Sweden
Werner Lueg,1952-06-29,223,"Berlin, Germany",1500 Meters,East Germany
Wes Santee,1954-06-04,222.8,"Compton, United States",1500 Meters,United States
John Landy,1954-06-21,221.8,"Turku, Finland",1500 Meters,Australia
Sándor Iharos,1955-07-28,220.8,"Helsinki, Finland",1500 Meters,Hungary
László Tábori,1955-09-06,220.8,"Oslo, Norway",1500 Meters,Hungary
Gunnar Nielsen,1955-09-06,220.8,"Oslo, Norway",1500 Meters,Denmark
István Rózsavölgyi,1956-08-03,220.6,"Tata, Hungary",1500 Meters,Hungary
Olavi Salsola,1957-07-11,220.2,"Turku, Finland",1500 Meters,Finland
Olavi Salonen,1957-07-11,220.2,"Turku, Finland",1500 Meters,Finland
Stanislav Jungwirth,1957-07-12,218.1,"Stará Boleslav, Czechoslovakia",1500 Meters,Czechoslovakia
Herb Elliott,1958-08-28,216,"Gothenburg, Sweden",1500 Meters,Australia
Herb Elliott,1960-09-06,215.6,"Rome, Italy",1500 Meters,Australia
Jim Ryun,1967-07-08,213.1,"Los Angeles, United States",1500 Meters,United States
Filbert Bayi,1974-02-02,212.2,"Christchurch, New Zealand",1500 Meters,Tanzania
Sebastian Coe,1979-08-15,212.1,"Zürich, Switzerland",1500 Meters,United Kingdom
Steve Ovett,1980-07-15,212.1,"Oslo, Norway",1500 Meters,United Kingdom
Steve Ovett,1980-08-27,211.4,"Koblenz, West Germany",1500 Meters,United Kingdom
Sydney Maree,1983-08-28,211.24,"Cologne, West Germany",1500 Meters,United States
Steve Ovett,1983-09-04,210.77,"Rieti, Italy",1500 Meters,United Kingdom
Steve Cram,1985-07-16,209.67000000000002,"Nice, France",1500 Meters,United Kingdom
Saïd Aouita,1985-08-23,209.46,"Berlin, Germany",1500 Meters,Morocco
Noureddine Morceli,1992-09-06,208.86,"Rieti, Italy",1500 Meters,Algeria
Noureddine Morceli,1995-07-12,207.37,"Nice, France",1500 Meters,Algeria
Hicham El Guerrouj,1998-07-14,206,"Rome, Italy",1500 Meters,Morocco
John Paul Jones,1913-05-31,254.4,"Allston, Mass.",One Mile,United States
Norman Taber,1915-07-16,252.6,"Allston, Mass.",One Mile,United States
Paavo Nurmi,1923-08-23,250.4,Stockholm,One Mile,Finland
Jules Ladoumègue,1931-10-04,249.2,Paris,One Mile,France
Jack Lovelock,1933-07-15,247.6,"Princeton, N.J.",One Mile,New Zealand
Glenn Cunningham,1934-06-16,246.8,"Princeton, N.J.",One Mile,United States
Sydney Wooderson,1937-08-28,246.4,Motspur Park,One Mile,United Kingdom
Gunder Hägg,1942-07-01,246.2,Gothenburg,One Mile,Sweden
Arne Andersson,1942-07-10,246.2,Stockholm,One Mile,Sweden
Gunder Hägg,1942-09-04,244.6,Stockholm,One Mile,Sweden
Arne Andersson,1943-07-01,242.6,Gothenburg,One Mile,Sweden
Arne Andersson,1944-07-18,241.6,Malmö,One Mile,Sweden
